fclass,width_t,reclass
bridleway,2,open_paved
cycleway,2.5,closed_paved
footway,2.5,open_paved
living_street,5,closed_paved
motorway,15,closed_paved
motorway_link,5,closed_paved
path,2,open_paved
pedestrian,5,open_paved
primary,16,closed_paved
primary_link,8,closed_paved
residential,10,closed_paved
secondary,14,closed_paved
secondary_link,8,closed_paved
service,5,closed_paved
steps,2.5,closed_paved
tertiary,14,closed_paved
tertiary_link,5,closed_paved
track,5,open_paved
track_grade1,4,open_paved
track_grade2,4,open_paved
track_grade3,4,open_paved
track_grade4,4,open_paved
track_grade5,4,open_paved
trunk,10,closed_paved
trunk_link,8,closed_paved
unclassified,4,open_paved
unknown,4,open_paved
canal,10,water
drain,4,water
river,10,water
stream,5,water
funicular,4.5,open_paved
miniature_railway,2,open_paved
narrow_gauge,2,open_paved
rail,4.5,open_paved
tram,3,closed_paved
